,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Client 1,-0.2916,0.0251,0.08,0.133,0.1304075719194692,0.12748659727314546,0.1242132864012398,0.12525669731727956,0.12487437056078969,0.12684032138048737
Client 2,0.3505,0.3375,0.7941,0.5938,0.588250041432355,0.5855856003954928,0.6053792036014863,0.5900117857391659,0.5822173959734781,0.5874890645189952
Client 3,0.3978,0.3126,1.0,1.0,1.0,1.0,1.0,1.0,0.961677707771952,0.9854756545512667
Client 4,0.6667,0.5696,0.8576,0.9198,0.928213681054514,0.973508315908716,0.9382653700627622,0.9390128504184025,0.911105027746916,0.9176105036686228
Client 5,-0.0957,-0.2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
