,QS-based composition,MLaaS_CS,QualityCategory,model category,Rule-Based AC
210,1,1,1,Minist32,1
211,1,1,1,Minist32,1
212,1,1,1,Minist32,1
213,1,1,1,Minist32,1
214,1,0,0,Minist32,1
215,1,1,1,Minist32,1
216,1,1,1,Minist32,1
217,1,0,0,Minist32,0
218,0,1,0,Minist32,0
219,1,1,1,Minist32,1
220,1,1,1,Minist32,0
221,1,1,1,Minist32,1
222,1,1,1,Minist32,1
223,1,1,1,Minist32,1
224,1,1,1,Minist32,1
225,1,0,0,Minist32,0
226,1,1,1,Minist32,0
227,1,1,1,Minist32,1
228,1,1,1,Minist32,1
229,1,0,0,Minist32,0
230,0,0,0,Minist32,0
231,0,0,0,Minist32,0
232,0,0,0,Minist32,0
233,1,0,0,Minist32,0
234,1,0,1,Minist32,1
235,1,0,1,Minist32,1
236,1,1,1,Minist32,0
237,1,1,1,Minist32,1
238,1,1,1,Minist32,1
239,1,1,1,Minist32,1
240,1,1,1,Minist32,1
241,1,1,1,Minist32,1
242,1,0,0,Minist32,1
243,1,1,1,Minist32,1
244,1,1,1,Minist32,1
245,1,1,1,Minist32,1
246,1,1,1,Minist32,0
247,1,1,1,Minist32,0
248,1,0,0,Minist32,0
249,1,1,1,Minist32,0
250,1,1,1,Minist32,0
251,1,1,1,Minist32,0
252,0,0,0,Minist32,0
253,1,1,1,Minist32,0
254,1,1,0,Minist32,0
255,0,1,0,Minist32,0
256,1,1,1,Minist32,0
257,1,1,1,Minist32,0
258,1,0,0,Minist32,0
259,1,1,1,Minist32,0
260,1,1,1,Minist32,0
261,1,1,1,Minist32,0
262,1,0,0,Minist32,0
263,1,1,1,Minist32,0
264,1,1,0,Minist32,0
265,1,0,1,Minist32,0
266,1,1,0,Minist32,0
267,1,1,1,Minist32,0
268,1,1,1,Minist32,0
269,1,0,0,Minist32,0
270,1,1,0,Minist32,0
271,1,1,1,Minist32,0
272,1,1,1,Minist32,0
273,1,0,0,Minist32,0
274,1,1,1,Minist32,0
275,0,0,0,Minist32,0
276,0,0,0,Minist32,0
277,0,0,0,Minist32,0
278,0,0,0,Minist32,0
279,1,0,0,Minist32,0
280,1,0,0,Minist32,0
281,1,0,0,Minist32,0
282,1,0,0,Minist32,0
283,1,0,0,Minist32,0
284,1,0,0,Minist32,0
285,1,0,0,Minist32,0
286,1,0,0,Minist32,0
287,1,1,1,Minist32,0
288,0,1,0,Minist32,0
289,0,1,0,Minist32,0
290,1,0,1,Minist32,0
291,1,1,1,Minist32,0
292,1,1,1,Minist32,0
293,1,0,0,Minist32,0
294,1,1,1,Minist32,0
295,1,1,1,Minist32,0
296,1,1,1,Minist32,0
297,1,0,0,Minist32,0
298,1,1,1,Minist32,0
299,1,1,0,Minist32,0
300,1,1,1,Minist64,0
301,1,1,1,Minist64,0
302,1,1,1,Minist64,0
303,1,1,1,Minist64,0
304,1,1,1,Minist64,0
305,1,1,1,Minist64,0
306,1,1,1,Minist64,0
307,1,1,1,Minist64,0
308,1,1,1,Minist64,0
309,1,1,1,Minist64,0
310,1,1,1,Minist64,0
311,1,1,1,Minist64,0
312,1,1,1,Minist64,0
313,1,1,1,Minist64,0
314,1,1,1,Minist64,0
315,1,1,1,Minist64,0
316,1,1,1,Minist64,0
317,1,1,1,Minist64,0
318,1,1,1,Minist64,0
319,1,1,1,Minist64,0
320,1,1,1,Minist64,0
321,1,1,1,Minist64,0
322,1,1,1,Minist64,0
323,1,1,1,Minist64,0
324,1,1,1,Minist64,0
325,1,1,1,Minist64,0
326,1,1,1,Minist64,0
327,1,1,1,Minist64,0
328,1,1,1,Minist64,0
329,1,1,1,Minist64,0
330,1,1,1,Minist64,0
331,1,1,1,Minist64,0
332,1,1,1,Minist64,0
333,1,1,1,Minist64,1
334,1,1,1,Minist64,0
335,1,1,1,Minist64,1
336,1,1,1,Minist64,0
337,1,1,1,Minist64,0
338,1,1,1,Minist64,0
339,1,1,1,Minist64,0
340,1,1,1,Minist64,0
341,1,1,1,Minist64,0
342,1,1,1,Minist64,1
343,1,1,1,Minist64,0
344,1,1,1,Minist64,0
345,1,1,1,Minist64,0
346,1,1,1,Minist64,0
347,1,1,1,Minist64,0
348,1,1,1,Minist64,0
349,1,1,1,Minist64,0
350,1,1,1,Minist64,0
351,1,1,1,Minist64,0
352,1,1,1,Minist64,1
353,1,1,1,Minist64,0
354,1,1,1,Minist64,0
355,1,1,1,Minist64,1
356,1,1,1,Minist64,0
357,1,1,1,Minist64,0
358,1,1,1,Minist64,1
359,1,1,1,Minist64,0
360,1,1,1,Minist64,0
361,1,1,1,Minist64,0
362,1,1,1,Minist64,0
363,1,1,1,Minist64,0
364,1,1,1,Minist64,0
365,1,1,1,Minist64,1
366,1,1,1,Minist64,0
367,1,1,1,Minist64,0
368,1,1,1,Minist64,1
369,1,1,1,Minist64,0
370,1,1,1,Minist64,1
371,1,1,1,Minist64,0
372,1,1,1,Minist64,0
373,1,1,1,Minist64,0
374,1,1,1,Minist64,0
375,1,1,1,Minist64,0
376,1,1,1,Minist64,0
377,1,1,1,Minist64,0
378,1,1,1,Minist64,0
379,1,1,1,Minist64,0
380,1,1,1,Minist64,0
381,1,1,1,Minist64,1
382,1,1,1,Minist64,0
383,1,1,1,Minist64,0
384,1,1,1,Minist64,0
385,1,1,1,Minist64,0
386,1,1,1,Minist64,0
387,1,1,1,Minist64,0
388,1,1,1,Minist64,0
389,1,1,1,Minist64,0
390,1,1,1,Minist64,0
391,1,1,1,Minist64,0
392,1,1,1,Minist64,0
393,1,1,1,Minist64,0
394,1,1,1,Minist64,0
395,1,1,1,Minist64,0
396,1,1,1,Minist64,0
397,1,1,1,Minist64,0
398,1,1,1,Minist64,0
399,1,1,1,Minist64,0
400,1,1,1,Minist64,0
401,1,1,1,Minist64,0
402,1,1,1,Minist64,0
403,1,1,1,Minist64,0
404,1,1,1,Minist64,0
405,1,1,1,Minist64,1
406,1,1,1,Minist64,0
407,1,1,1,Minist64,0
408,1,1,1,Minist64,0
409,1,1,1,Minist64,0
410,1,1,1,Minist64,0
411,1,1,1,Minist64,0
412,1,1,1,Minist64,0
413,1,1,1,Minist64,0
414,1,1,1,Minist64,0
